,Context-Free,Mildly Context-Sensitive,Context-Sensitive
o1,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.99, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 0.99, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 0.99, 18: 1.0, 19: 1.0, 20: 1.0, 21: 0.94, 22: 1.0, 23: 0.99, 24: 1.0, 25: 1.0, 26: 0.97, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 0.99, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 0.99, 44: 0.99, 45: 1.0, 46: 1.0, 47: 1.0, 48: 1.0, 49: 1.0, 50: 1.0}","{1: 1.0, 2: 1.0, 3: 0.99, 4: 1.0, 5: 0.98, 6: 1.0, 7: 0.98, 8: 0.81, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 0.82, 16: 1.0, 17: 1.0, 18: 0.99, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 0.01, 34: 1.0, 35: 1.0, 36: 0.98, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 1.0, 44: 0.01, 45: 1.0, 46: 0.95, 47: 0.2, 48: 1.0, 49: 0.99, 50: 1.0}","{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.02, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.01, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.99, 37: 0.0, 38: 0.0, 39: 0.02, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.44, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0}"
o1-preview,"{1: 0.99, 2: 0.98, 3: 0.99, 4: 0.99, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.96, 9: 1.0, 10: 1.0, 11: 0.99, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 0.95, 20: 1.0, 21: 0.95, 22: 1.0, 23: 1.0, 24: 0.99, 25: 0.99, 26: 0.95, 27: 0.94, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 0.99, 34: 1.0, 35: 1.0, 36: 0.99, 37: 1.0, 38: 1.0, 39: 0.99, 40: 1.0, 41: 1.0, 42: 1.0, 43: 1.0, 44: 1.0, 45: 1.0, 46: 1.0, 47: 1.0, 48: 1.0, 49: 1.0, 50: 0.97}","{1: 0.98, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 0.98, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 0.99, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 0.99, 27: 1.0, 28: 0.99, 29: 1.0, 30: 0.99, 31: 1.0, 32: 0.99, 33: 0.05, 34: 0.99, 35: 0.99, 36: 0.99, 37: 0.99, 38: 0.98, 39: 0.99, 40: 0.98, 41: 0.99, 42: 0.99, 43: 0.99, 44: 0.28, 45: 0.99, 46: 1.0, 47: 0.92, 48: 1.0, 49: 1.0, 50: 1.0}","{1: 0.29, 2: 0.76, 3: 0.29, 4: 0.12, 5: 0.22, 6: 0.37, 7: 0.47, 8: 0.63, 9: 0.84, 10: 0.4, 11: 0.23, 12: 0.27, 13: 0.3, 14: 0.08, 15: 0.42, 16: 0.79, 17: 0.97, 18: 0.65, 19: 0.05, 20: 0.72, 21: 0.18, 22: 0.91, 23: 0.39, 24: 0.51, 25: 0.25, 26: 0.54, 27: 0.83, 28: 0.29, 29: 0.34, 30: 0.25, 31: 0.17, 32: 0.89, 33: 0.17, 34: 0.37, 35: 0.11, 36: 0.99, 37: 0.23, 38: 0.15, 39: 0.71, 40: 0.13, 41: 0.91, 42: 0.19, 43: 0.67, 44: 0.07, 45: 0.97, 46: 0.76, 47: 0.61, 48: 0.03, 49: 0.58, 50: 0.08}"
gpt-4,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 1.0, 44: 1.0, 45: 1.0, 46: 1.0, 47: 1.0, 48: 1.0, 49: 1.0, 50: 1.0}","{1: 1.0, 2: 0.82, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 0.0, 8: 0.61, 9: 1.0, 10: 1.0, 11: 0.0, 12: 1.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 0.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 0.91, 25: 0.96, 26: 0.62, 27: 0.44, 28: 1.0, 29: 1.0, 30: 1.0, 31: 0.95, 32: 1.0, 33: 0.0, 34: 1.0, 35: 0.07, 36: 0.45, 37: 1.0, 38: 1.0, 39: 1.0, 40: 0.0, 41: 1.0, 42: 0.28, 43: 1.0, 44: 0.69, 45: 1.0, 46: 0.0, 47: 0.0, 48: 1.0, 49: 1.0, 50: 1.0}","{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0}"
claude-o,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 0.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 0.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 0.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 1.0, 44: 1.0, 45: 0.9292929292929293, 46: 1.0, 47: 1.0, 48: 1.0, 49: 0.0, 50: 1.0}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 0.01, 6: 1.0, 7: 0.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 0.7, 13: 1.0, 14: 1.0, 15: 0.06, 16: 0.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 0.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 0.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 0.66, 36: 1.0, 37: 1.0, 38: 0.99, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 1.0, 44: 0.04, 45: 0.81, 46: 1.0, 47: 1.0, 48: 1.0, 49: 1.0, 50: 1.0}","{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.12, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 1.0, 17: 0.05, 18: 0.0, 19: 0.0, 20: 0.13, 21: 0.0, 22: 1.0, 23: 0.0, 24: 1.0, 25: 0.0, 26: 1.0, 27: 0.0, 28: 0.0, 29: 0.08, 30: 1.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 1.0, 35: 0.0, 36: 0.0, 37: 1.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 1.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0}"
deepseekR1,"{1: 1.0, 2: 0.5, 3: 0.8, 4: 1.0, 5: 0.6, 6: 0.8, 7: 0.8, 8: 0.6, 9: 0.9, 10: 0.8, 11: 0.7, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 0.9, 18: 0.8, 19: 0.9, 20: 1.0, 21: 0.5, 22: 1.0, 23: 0.8, 24: 0.9, 25: 0.8, 26: 0.6, 27: 0.9, 28: 0.9, 29: 0.7, 30: 1.0, 31: 0.8, 32: 0.6, 33: 0.4, 34: 1.0, 35: 0.8, 36: 0.9, 37: 1.0, 38: 0.9, 39: 1.0, 40: 1.0, 41: 1.0, 42: 0.7, 43: 0.8, 44: 0.9, 45: 1.0, 46: 0.9, 47: 0.9, 48: 0.4, 49: 0.9, 50: 1.0}","{1: 1.0, 2: 0.8, 3: 0.9, 4: 0.2, 5: 0.7, 6: 0.8, 7: 0.6, 8: 0.4, 9: 0.8, 10: 0.4, 11: 0.8, 12: 0.4, 13: 1.0, 14: 0.5, 15: 0.0, 16: 0.6, 17: 1.0, 18: 0.9, 19: 0.8, 20: 1.0, 21: 0.8, 22: 0.9, 23: 0.5, 24: 1.0, 25: 0.6, 26: 0.0, 27: 0.6, 28: 0.7, 29: 1.0, 30: 0.1, 31: 0.5, 32: 1.0, 33: 0.0, 34: 0.9, 35: 0.8, 36: 0.0, 37: 0.9, 38: 0.8, 39: 0.6, 40: 0.9, 41: 0.8, 42: 0.8, 43: 0.7, 44: 0.0, 45: 0.1, 46: 0.6, 47: 0.2, 48: 0.8, 49: 0.7, 50: 0.5}","{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0}"
llama-3.1,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 0.99, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 0.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 0.88, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 1.0, 44: 1.0, 45: 1.0, 46: 1.0, 47: 1.0, 48: 1.0, 49: 1.0, 50: 1.0}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 0.0, 5: 0.0, 6: 1.0, 7: 0.0, 8: 0.02, 9: 1.0, 10: 1.0, 11: 0.01, 12: 1.0, 13: 0.96, 14: 1.0, 15: 0.0, 16: 0.94, 17: 1.0, 18: 0.99, 19: 0.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 1.0, 30: 0.0, 31: 0.0, 32: 1.0, 33: 0.0, 34: 1.0, 35: 0.97, 36: 1.0, 37: 1.0, 38: 0.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 1.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 1.0, 48: 1.0, 49: 1.0, 50: 1.0}","{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.08, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 1.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0}"
gemini,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 1.0, 44: 1.0, 45: 1.0, 46: 1.0, 47: 1.0, 48: 1.0, 49: 1.0, 50: 1.0}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 0.0, 19: 0.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 0.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 1.0, 44: 0.0, 45: 0.0, 46: 1.0, 47: 0.0, 48: 1.0, 49: 1.0, 50: 1.0}","{1: 0.0, 2: 1.0, 3: 0.0, 4: 0.05, 5: 0.0, 6: 1.0, 7: 0.0, 8: 0.0, 9: 1.0, 10: 0.0, 11: 0.0, 12: 1.0, 13: 1.0, 14: 0.0, 15: 1.0, 16: 0.0, 17: 0.0, 18: 1.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 1.0, 25: 0.0, 26: 0.0, 27: 0.01, 28: 0.0, 29: 1.0, 30: 1.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 1.0, 37: 0.0, 38: 0.0, 39: 1.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 1.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0}"
o1-mini,"{1: 0.99, 2: 0.96, 3: 0.99, 4: 0.99, 5: 0.99, 6: 0.98, 7: 0.99, 8: 0.97, 9: 0.99, 10: 0.98, 11: 0.99, 12: 0.98, 13: 0.99, 14: 0.99, 15: 0.99, 16: 0.98, 17: 0.99, 18: 0.88, 19: 0.96, 20: 1.0, 21: 0.97, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 0.97, 28: 0.99, 29: 0.99, 30: 1.0, 31: 0.99, 32: 0.99, 33: 1.0, 34: 1.0, 35: 1.0, 36: 0.99, 37: 0.98, 38: 1.0, 39: 0.99, 40: 1.0, 41: 1.0, 42: 0.98, 43: 0.99, 44: 0.99, 45: 1.0, 46: 0.99, 47: 0.99, 48: 1.0, 49: 1.0, 50: 0.99}","{1: 0.97, 2: 0.97, 3: 0.98, 4: 0.99, 5: 1.0, 6: 0.96, 7: 0.99, 8: 0.84, 9: 0.96, 10: 0.99, 11: 0.97, 12: 0.99, 13: 1.0, 14: 0.87, 15: 0.9, 16: 0.94, 17: 1.0, 18: 1.0, 19: 0.98, 20: 1.0, 21: 0.99, 22: 0.99, 23: 0.97, 24: 1.0, 25: 0.99, 26: 0.99, 27: 1.0, 28: 1.0, 29: 1.0, 30: 0.99, 31: 0.95, 32: 0.99, 33: 0.18, 34: 1.0, 35: 0.61, 36: 0.88, 37: 0.99, 38: 0.86, 39: 1.0, 40: 1.0, 41: 0.99, 42: 0.94, 43: 0.99, 44: 0.89, 45: 1.0, 46: 0.93, 47: 0.9, 48: 1.0, 49: 1.0, 50: 0.99}","{1: 0.22, 2: 0.39, 3: 0.03, 4: 0.12, 5: 0.14, 6: 0.35, 7: 0.38, 8: 0.08, 9: 0.59, 10: 0.44, 11: 0.34, 12: 0.19, 13: 0.18, 14: 0.11, 15: 0.74, 16: 0.6, 17: 0.78, 18: 0.35, 19: 0.14, 20: 0.9, 21: 0.04, 22: 0.6, 23: 0.01, 24: 0.37, 25: 0.35, 26: 0.24, 27: 0.53, 28: 0.19, 29: 0.27, 30: 0.33, 31: 0.07, 32: 0.63, 33: 0.2, 34: 0.48, 35: 0.12, 36: 0.81, 37: 0.36, 38: 0.17, 39: 0.91, 40: 0.21, 41: 0.83, 42: 0.26, 43: 0.07, 44: 0.12, 45: 0.98, 46: 0.12, 47: 0.01, 48: 0.19, 49: 0.1, 50: 0.01}"
gemini-2-flash,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 0.46464646464646464, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 0.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 0.8585858585858586, 33: 1.0, 34: 1.0, 35: 1.0, 36: 0.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 0.9595959595959596, 43: 1.0, 44: 1.0, 45: 1.0, 46: 0.0, 47: 1.0, 48: 1.0, 49: 0.04040404040404041, 50: 1.0}","{1: 1.0, 2: 0.0, 3: 1.0, 4: 1.0, 5: 0.98, 6: 1.0, 7: 0.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 0.99, 12: 1.0, 13: 1.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 0.95, 26: 1.0, 27: 0.9, 28: 0.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 0.0, 36: 0.02, 37: 1.0, 38: 0.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 0.0, 43: 1.0, 44: 1.0, 45: 1.0, 46: 0.0, 47: 0.0, 48: 1.0, 49: 0.0, 50: 1.0}","{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 1.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0}"
llama-3.1-70b,"{1: 1.0, 2: 0.0, 3: 1.0, 4: 0.4, 5: 0.55, 6: 0.0, 7: 1.0, 8: 0.0, 9: 0.62, 10: 1.0, 11: 0.03, 12: 1.0, 13: 0.31, 14: 0.99, 15: 0.99, 16: 1.0, 17: 1.0, 18: 0.0, 19: 1.0, 20: 1.0, 21: 0.93, 22: 1.0, 23: 0.0, 24: 0.9, 25: 1.0, 26: 0.0, 27: 0.95, 28: 1.0, 29: 1.0, 30: 0.71, 31: 0.37, 32: 0.0, 33: 0.98, 34: 1.0, 35: 0.28, 36: 0.65, 37: 0.33, 38: 0.86, 39: 1.0, 40: 1.0, 41: 1.0, 42: 0.01, 43: 1.0, 44: 0.24, 45: 0.04, 46: 1.0, 47: 1.0, 48: 0.06, 49: 0.87, 50: 0.79}","{1: 0.99, 2: 0.01, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.73, 9: 0.09, 10: 0.0, 11: 0.98, 12: 1.0, 13: 0.0, 14: 0.54, 15: 0.0, 16: 0.08, 17: 1.0, 18: 0.16, 19: 0.0, 20: 1.0, 21: 0.77, 22: 0.99, 23: 0.93, 24: 0.84, 25: 1.0, 26: 0.0, 27: 0.0, 28: 0.08, 29: 0.84, 30: 0.01, 31: 1.0, 32: 1.0, 33: 0.11, 34: 0.04, 35: 0.11, 36: 0.01, 37: 1.0, 38: 0.0, 39: 1.0, 40: 0.0, 41: 0.79, 42: 0.0, 43: 0.2, 44: 0.0, 45: 0.79, 46: 0.0, 47: 0.3, 48: 1.0, 49: 0.0, 50: 0.32}","{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0}"
